section,id,type,name,description
4,maximum_residue_limits_standard,regulation,Maximum Residue Limits Standard,"The Maximum Residue Limits Standard as in force from time to time, or any standard in force in substitution for that standard."
4,member,role,Member of the Board,"A member of the Board of the Authority, including the Chairperson and the Chief Executive Officer."
4,new_zealand_authority,entity,New Zealand Authority,"A body established by New Zealand, or by or under a law of New Zealand."
4,new_zealand_lead_minister_on_the_forum_on_food_regulation,person,New Zealand Lead Minister on the Forum on Food Regulation,The Minister of the government of New Zealand who is a member of the Forum on Food Regulation and nominated to be the lead Minister.
4,nutrition_health_and_related_claims_standard,regulation,"Nutrition, Health and Related Claims Standard","The Nutrition, Health and Related Claims Standard as in force from time to time, or any standard in force in substitution for that standard."
4,policy_guideline,concept,Policy Guideline,A guideline formulated by the Forum on Food Regulation for the purposes of paragraph 18(2)(e).
4,standard,regulation,Standard,"A standard made under this Act after the commencement of Part 1 of Schedule 1 to the Australia New Zealand Food Authority Amendment Act 2001, a standard adopted by a former Council under this Act, or a standard included in the Australia New Zealand Food Standards Code, excluding editorial notes and examples."
4,state_or_territory_authority,entity,State or Territory Authority,"A body established by a State or Territory, or by or under a law of a State or Territory."
4,territory,entity,Territory,Refers to the Australian Capital Territory and the Northern Territory.
4,trust_money,concept,Trust Money,Money received or held by the Authority on trust.
5,therapeutic_good,definition,Therapeutic Good,A therapeutic good within the meaning of the Therapeutic Goods Act 1989.
5,live_animals_and_plants,definition,Live Animals and Plants,Live animals and plants may be included as food.
6,minister,person,Minister,The Minister is authorized to declare a substance or thing as food for the purposes of the Act after consulting the Authority.
6,legislation_act_2003,legislation,Legislation Act 2003,Legislation that contains provisions about disallowance and sunsetting that do not apply to the declaration made by the Minister under the FOOD STANDARDS AUSTRALIA NEW ZEALAND ACT 1991.
6,new_zealand_gazette,publication,New Zealand Gazette,The publication in which the Minister must cause a copy of the declaration to be published.
6,declaration_of_what_is_food,regulation,Declaration of what is food,A legislative instrument by which the Minister declares a substance or thing as food for the purposes of the Act.
7,public_notice_requirements,regulation,Public Notice Requirements,Requirements for the Authority to give public notice of a particular matter under the Act.
7,government_agency,organization,Appropriate Government Agency,Government agencies that must be given written notice by the Authority when public notice is required.
7,applicant,person,Applicant,Individual or entity applying to develop or vary a food regulatory measure.
7,submission_contributor,person,Submission Contributor,Persons invited to make a submission and who made a submission within the relevant period.
7,other_person_or_body,entity,Other Person or Body,Any other person or body considered appropriate by the Authority to receive written notice.
8,exclusive_capturable_commercial_benefit,concept,Exclusive Capturable Commercial Benefit,"A benefit conferred upon a person or body who applies for the development or variation of a food regulatory measure under section 22, characterized by potential financial gain from the effect of the draft standard or variation and the requirement for others to have the applicant's agreement to financially benefit from the application."
8,section_22,legislation,Section 22,The section of the FOOD STANDARDS AUSTRALIA NEW ZEALAND ACT 1991 under which a person or body can apply for the development or variation of a food regulatory measure.
8,food_regulatory_measure,concept,Food Regulatory Measure,"A measure related to the regulation of food standards, the development or variation of which can be applied for under section 22."
8,draft_standard_or_variation,concept,Draft Standard or Variation,The draft version of a standard or its variation that is prepared in relation to an application under section 22.
8,unrelated_persons_or_bodies,person,Unrelated Persons or Bodies,Persons or commercial entities that are not related to the applicant and would require the applicant's agreement to benefit financially from the approval of the application.
9,corporation,entity,Corporation,Any corporation to which paragraph 51(xx) of the Constitution is applicable.
9,trading_corporation,entity,Trading Corporation,A trading corporation to which paragraph 51(xx) of the Constitution is applicable.
9,food_standard,regulation,Food Standard,"The standard of food sold by corporations or standards in relation to activities undertaken by corporations in respect of food before, or in connection with, its sale."
9,trade_and_commerce,regulation,Trade and Commerce,Ensuring that trade and commerce in food between Australia and places outside Australia or among the States is carried on in an efficient and profitable manner.
9,territories_regulation,regulation,Territories Regulation,Regulation of food and food standards in the Territories.
9,commonwealth_standards_control,regulation,Commonwealth Standards Control,"Controlling the standards of all food supplied to the Commonwealth, its authorities and its instrumentalities."
9,weights_and_measures,regulation,Weights and Measures,Fixing of weights and measures in respect of food.
10,crown,entity,Crown,"The Crown in right of the Commonwealth, of each of the States, of the Australian Capital Territory and of the Northern Territory"
11,chapter_2_of_the_criminal_code,legislation,Chapter 2 of the Criminal Code,Sets out the general principles of criminal responsibility.
11,food_standards_australia_new_zealand_act_1991,legislation,FOOD STANDARDS AUSTRALIA NEW ZEALAND ACT 1991,The act to which Chapter 2 of the Criminal Code applies.
12,australia_new_zealand_food_authority,organization,Australia New Zealand Food Authority,The body that was known as the Australia New Zealand Food Authority before being continued as Food Standards Australia New Zealand.
12,acts_interpretation_act_1901,legislation,Acts Interpretation Act 1901,An act that includes provisions relevant to the continuation of the Australia New Zealand Food Authority as Food Standards Australia New Zealand.
12,public_governance_performance_and_accountability_act_2013,legislation,"Public Governance, Performance and Accountability Act 2013","An act that applies to the Authority, dealing with matters relating to corporate Commonwealth entities, including reporting and the use and management of public resources."
13,australia_new_zealand_food_standards_code,regulation,Australia New Zealand Food Standards Code,A code that contains the standards and guidelines for food safety and labeling in Australia and New Zealand.
13,minister_administering_part_3_3_of_schedule_2_to_the_competition_and_consumer_act_2010,person,Minister,"The Minister responsible for administering Part 3-3 of Schedule 2 to the Competition and Consumer Act 2010, which relates to the recall of food under Commonwealth law."
13,states_and_territories,organization,States and Territories,The state and territory governments in Australia that work in consultation with the Authority on various functions related to food standards and safety.
13,new_zealand,concept,New Zealand,A country that can request the Authority to perform functions similar to those it performs for the States and Territories of Australia.
15,forum_on_food_regulation,organization,Forum on Food Regulation,The Minister must consult with the Forum on Food Regulation before giving a direction under subsection (1).
15,public_governance_performance_and_accountability_act_2013,legislation,"Public Governance, Performance and Accountability Act 2013",Section 22 of this Act deals with the application of government policy to corporate Commonwealth entities and its application is not affected by this section.
16,handle,concept,Handling of Food,"Includes produce, collect, receive, store, serve, display, package, transport, dispose of or recall food."
16,food_composition,regulation_subject,Composition of Food,"Standards related to the composition of food, including contaminants, additives, microbiological status, and methods of sampling and testing."
16,food_production,regulation_subject,Production of Food,Standards related to the production of food.
16,food_handling,regulation_subject,Handling of Food,Standards related to the handling of food.
16,food_sale_prohibition,regulation_subject,Prohibition of the Sale of Food,"Standards related to the prohibition of the sale of food in all or specified circumstances, unconditionally or subject to specified conditions."
16,food_information,regulation_subject,Information about Food,"Standards related to information about food including labelling, promotion, and advertising."
16,food_handler_requirements,regulation_subject,Requirements for People Handling Food,"Standards related to the knowledge, skill, health, and hygiene requirements for people handling food."
16,business_responsibilities,regulation_subject,Responsibilities of Businesses Handling Food,"Standards related to the responsibilities of businesses handling food, including hygiene requirements and confidentiality of information."
16,food_temperature_measurement,regulation_subject,Use of Devices to Measure Food Temperature,Standards related to the use of devices of a particular standard to measure the temperature of food.
16,food_handling_premises,regulation_subject,Premises for Handling Food,"Standards related to the design, construction, maintenance, and cleanliness of premises, equipment, and vehicles used for handling food."
16,food_business_information,regulation_subject,Information from Food Businesses,Standards related to the information that a business handling food may be required to give about the business to State or Territory authorities.
16,food_sale_restrictions,regulation_subject,Restrictions on Food Sale,"Standards related to restrictions on the premises at which, and the persons by whom, particular food may be sold or otherwise supplied."
16,food_advertisement_restrictions,regulation_subject,Restrictions on Food Advertisements,Standards related to restrictions on the publications that may contain advertisements for particular food.
16,food_handling_animals_pests,regulation_subject,Requirements Relating to Animals and Pests,"Standards related to requirements for animals and pests at premises in which food is handled, or in vehicles in which food is transported."
16,standards_interpretation,regulation_subject,Interpretation of Standards,Standards related to the interpretation of other standards.
16,standards_application,regulation_subject,Application of Standards,Standards related to the application of standards.
16,public_health_matters,regulation_subject,Public Health Matters Relating to Food,Standards related to other public health matters relating to food as prescribed.
16,food_class,regulation_subject,Class of Food,Standards may relate to a class of food generally.
16,food_brand,regulation_subject,Particular Brand of Food,Standards may relate to a particular brand of food.
17,sect_17,legislation,Codes of practice,"Codes of practice, and variations of codes of practice, may deal only with matters that may be included in standards."
18,public_health_and_safety,objective,Protection of public health and safety,The highest priority objective of the Authority in developing or reviewing food regulatory measures.
18,informed_consumer_choice,objective,Provision of adequate information to consumers,Objective to enable consumers to make informed choices regarding food.
18,prevent_misleading_conduct,objective,Prevention of misleading or deceptive conduct,Objective to prevent misleading or deceptive conduct in food regulation.
18,risk_analysis,standard,Risk analysis based on scientific evidence,The need for standards to be based on risk analysis using the best available scientific evidence.
18,consistency_with_international_standards,standard,Consistency between domestic and international food standards,Promotion of consistency between domestic and international food standards.
18,food_industry_competitiveness,standard,Efficient and internationally competitive food industry,The desirability of an efficient and internationally competitive food industry.
18,fair_trading,standard,Fair trading in food,The promotion of fair trading in food.
18,policy_guidelines,regulation,Policy guidelines by the Forum on Food Regulation,Guidelines formulated by the Forum on Food Regulation for the Authority to consider in developing or reviewing food regulatory measures.
18,sanitary_and_phytosanitary_measures,regulation,Sanitary or phytosanitary measures,"Measures applied to protect life and health of animals, plants, and humans from risks arising from pests, diseases, and contaminants in food and to prevent damage from pests."
20,three_year_forward_plan,document,Three Year Forward Plan,A plan that outlines the Authority's intentions to develop standards or variations to standards for the next three years.
21,application,procedure,Application for food regulatory measure,"A request made for the development or variation of a food regulatory measure, excluding high level health claims variations."
21,public_submissions,procedure,Public Submissions,A process where the Authority calls for public input on the application or draft food regulatory measure.
21,draft_food_regulatory_measure,document,Draft Food Regulatory Measure,A preliminary version of a food regulatory measure prepared by the Authority.
22,application_requirements,regulation,Application Requirements,"Requirements for an application to develop or vary a food regulatory measure, including being in writing, following a specified form, including all necessary information and things, and identifying the applicable procedure."
22,guidelines_section_23,regulation,Guidelines under Section 23,"Guidelines that specify the form, information, and things to be included with an application for the development or variation of a food regulatory measure."
23,application_guidelines,regulation,Application Guidelines,"Guidelines specifying the form, information, and things to be included with applications for the development or variation of food regulatory measures."
23,section_146,legislation,Section 146,A section of the Act that may involve a charge payable to the Authority in relation to applications for food regulatory measures.
24,section_28,legislation,Section 28,A section of the Food Standards Australia New Zealand Act 1991 that involves giving public notice of an application.
24,section_51,legislation,Section 51,A section of the Food Standards Australia New Zealand Act 1991 that involves giving public notice of an application.
25,general_procedure,procedure,General Procedure,The default procedure adopted by the Authority for considering applications for the development or variation of food regulatory measures.
25,subdivision_e,legislation,Subdivision E,Subdivision E applies to applications for a minor variation of a food regulatory measure.
25,subdivision_f,legislation,Subdivision F,Subdivision F applies to applications for the development of a new food regulatory measure or a major variation of a food regulatory measure.
25,subdivision_g,legislation,Subdivision G,Subdivision G applies to applications for a high level health claims variation.
25,urgent_application,concept,Urgent Application,An application declared to be urgent for the purposes of this Part under section 95.
25,high_level_health_claims_variation,variation,High Level Health Claims Variation,A variation that involves high level health claims.
25,other_kind_of_variation,variation,Other Kind of Variation,A variation of a kind other than a high level health claims variation.
26,subsection_22_2,regulation,Subsection 22(2) compliance,A criterion that applications must comply with for the Authority to consider accepting them.
26,previous_application_or_proposal,regulation,Previous application or proposal,A past application or proposal that new applications are compared to in order to determine if they are too similar and should be rejected.
27,charge_under_section_146,regulation,Charge under Section 146,"A charge that must be paid by the applicant in relation to the application, which can be payable in instalments."
28,public_notice,event,Public notice of application,"A notice given by the Authority to the public stating the receipt and acceptance of an application for a food regulatory measure, along with other relevant details."
29,new_zealand_standards,regulation,New Zealand Standards,Standards relevant to the assessment of applications by the Authority.
29,section_18,legislation,Section 18 of the FOOD STANDARDS AUSTRALIA NEW ZEALAND ACT 1991,A section that sets out the objectives of the Authority in developing food regulatory measures and variations of those measures.
30,public_notice_section_31,legal_procedure,Public Notice under Section 31,A notice to the public that is required by Section 31 of the Food Standards Australia New Zealand Act 1991.
31,draft_variation_of_food_regulatory_measure,regulation,Draft Variation of Food Regulatory Measure,A draft variation to an existing food regulatory measure prepared by the Authority.
31,written_submissions,regulatory_action,Written Submissions,Submissions from the public for the Authority's consideration of the draft measure or draft variation.
31,submission_period,regulatory_action,Submission Period,The time period specified in the public notice during which written submissions must be given to the Authority.
32,standard_development_variation,process,Standard Development or Variation,The process undertaken by the Authority when an application results in the development or variation of a standard.
32,code_of_practice_development_variation,process,Code of Practice Development or Variation,The process undertaken by the Authority when an application results in the development or variation of a code of practice.
32,sect_33,legislation,Section 33,A section of the Food Standards Australia New Zealand Act 1991 that outlines steps to be followed for standard development or variation.
32,sect_34,legislation,Section 34,A section of the Food Standards Australia New Zealand Act 1991 that outlines additional steps to be followed for standard development or variation.
32,sect_35,legislation,Section 35,A section of the Food Standards Australia New Zealand Act 1991 that outlines steps to be followed for code of practice development or variation.
33,draft_standard_or_draft_variation,regulation,Draft Standard or Draft Variation,"A proposed standard or variation to an existing standard that is subject to approval, amendment, or rejection by the Authority."
33,report,document,Report under Section 33,"A report prepared by the Authority that includes reasons for decisions, summaries of assessments and submissions, responses to issues raised, and copies of the draft standard or draft variation."
33,regulation_impact_statement,document,Regulation Impact Statement,"A statement that may be included in the report if applicable, providing impact analysis of the regulation."
34,division_3,legislation,Division 3,The section of the legislation that outlines the process followed by the Forum on Food Regulation after receiving notification from the Authority.
36,subdivision_application,regulation,Application of Subdivision,"This Subdivision applies to an application for the variation of a food regulatory measure that does not impose, vary, or remove obligations or rights, or otherwise alter the legal effect of the measure."
36,variation_of_food_regulatory_measure,regulation,Variation of Food Regulatory Measure,"A variation of a food regulatory measure that corrects typographical errors, updates references to other documents, changes cross-references within a measure, or omits provisions that have ceased to have effect."
37,subdivision_modifications,legislation,Modifications in Subdivision,Modifications to the general procedure that the Authority must adopt when considering an application.
38,food_standards_australia_new_zealand_act_1991_sect_38,legislation,FOOD STANDARDS AUSTRALIA NEW ZEALAND ACT 1991 - SECT 38,Modification of step set out in section 29
38,section_29,legislation,section 29,Section of the FOOD STANDARDS AUSTRALIA NEW ZEALAND ACT 1991 which includes steps that the Authority must follow
38,paragraphs_29_2_a_and_b,legislation,paragraphs 29(2)(a) and (b),Require the Authority to do a cost benefit analysis
39,section_30,legislation,Section 30 of FOOD STANDARDS AUSTRALIA NEW ZEALAND ACT 1991,"Section 30 deals with the case where the draft variation differs from that sought in the application, or was not sought at all."
39,section_39,legislation,Section 39 of FOOD STANDARDS AUSTRALIA NEW ZEALAND ACT 1991,Section 39 modifies the step set out in Section 30 by stating that subsections 30(2) and (3) do not apply.
40,section_31,regulation,Section 31,A step set out in the FOOD STANDARDS AUSTRALIA NEW ZEALAND ACT 1991 which is modified by section 40.
40,section_40,regulation,Section 40,"Modifies the step set out in section 31, stating that section 31 does not apply, and outlines the process the Authority must follow after preparing a draft variation of the food regulatory measure as a result of an application."
40,draft_variation,regulation,Draft Variation,A draft variation of a food regulatory measure prepared by the Authority as a result of an application.
41,report_under_section_41,document,Report under Section 41,"A report prepared by the Authority that includes reasons for accepting the application, a summary of the assessment, reasons for the decision on the draft variation, and a copy of the draft variation."
42,new_food_regulatory_measure_development,regulated_activity,Development of a new food regulatory measure,An application process for creating new regulations pertaining to food standards.
42,food_regulatory_measure_variation,regulated_activity,Variation of a food regulatory measure,An application process for modifying existing regulations pertaining to food standards.
42,scientific_technical_complexity,condition,Scientific or technical complexity,A condition where the application involves complexity that necessitates a specific procedure for consideration.
42,significant_scope_change,condition,Significant change to the scope,A condition where the application involves a significant change to the scope of the food regulatory measure that necessitates a specific procedure for consideration.
44,section_44,legislation,Section 44,A section of the Food Standards Australia New Zealand Act 1991 that requires the Authority to give public notice after assessing an application under section 29 but before undertaking the step set out in section 30.
46,nutrition_health_and_related_claims_standard,regulation,"Nutrition, Health and Related Claims Standard",A standard under the FOOD STANDARDS AUSTRALIA NEW ZEALAND ACT 1991 that regulates the claims that can be made about the nutrition and health benefits of food.
48,charge_section_146,regulation,Charge under Section 146,"A charge that the applicant must pay in relation to the application, which may be payable in instalments."
49,high_level_health_claims_committee,committee,High Level Health Claims Committee,A committee established for the purpose of making recommendations on applications for high level health claims variations.
49,food_regulation_standing_committee,committee,Food Regulation Standing Committee,A committee to which the Authority must give notice of applications for high level health claims variations.
50,draft_high_level_health_claims_variation,legislation,Draft High Level Health Claims Variation,A proposed change to food standards that the Authority must consider for approval.
50,public_notice_section_51,legislation,Public Notice under Section 51,A procedure where the Authority gives public notice calling for submissions to consider for assessing a draft variation.
52,high_level_health_claims_variation,regulation,High Level Health Claims Variation,A draft variation related to high level health claims that the Authority must consider for approval or rejection.
52,section_51_notice,regulation,Section 51 Notice,"A notice calling for submissions under section 51 of the Act, which is part of the process for considering a draft high level health claims variation."
52,section_150,regulation,Section 150,A section of the Act that specifies the Board must not delegate its powers to act on behalf of the Authority in approving or rejecting draft high level health claims variations.
53,report_prepared_under_section_52,document,Report Prepared Under Section 52,A report that the Authority must provide to the Forum on Food Regulation upon approval of a draft high level health claims variation.
53,submissions_called_for_under_section_51,procedure,Submissions Called for Under Section 51,"A procedure where submissions are called for, which if done, requires the Authority to give public notice of the decision."
54,draft_standard,regulation,Draft Standard,A draft version of a standard that the Authority must decide to approve or reject.
54,draft_code_of_practice,regulation,Draft Code of Practice,A draft version of a code of practice that the Authority must decide to revoke or vary.
55,proposal,document,Proposal for food regulatory measure,A written document prepared by the Authority for the development or variation of a food regulatory measure.
56,proposal,legislation,Proposal,A proposal that may result in the development or variation of a standard or code of practice.
56,public_notice_section_58_or_75,legislation,Public Notice under Section 58 or 75,A public notice that is given under section 58 or 75 of the Act.
56,abandonment_notice,legislation,Abandonment Notice,A notice stating that the Authority has decided to abandon the proposal and how to obtain further information about the decision and the reasons for it.
57,minor_variation_proposal,proposal,Minor Variation of a Food Regulatory Measure,"A type of proposal to which Subdivision E applies, indicating a different procedure from the general procedure."
57,new_or_major_variation_proposal,proposal,Development of a New or Major Variation of a Food Regulatory Measure,"A type of proposal to which Subdivision F applies, indicating a different procedure from the general procedure."
57,high_level_health_claims_variation_proposal,proposal,High Level Health Claims Variation,"A type of proposal to which Subdivision G applies, indicating a different procedure from the general procedure."
57,urgent_proposal,proposal,Urgent Proposal,"A proposal declared to be urgent for the purposes of this Part under section 95, indicating a different procedure from the general procedure."
58,public_notice,regulation,Public Notice of Proposal,"A notice given by the Authority to the public stating the preparation of a proposal, its date, summary, procedure to be adopted, key steps timeline, and how to obtain further information."
59,section_56,regulation,Section 56,A section of the Act that allows the Authority to abandon a proposal.
62,standard_development_or_variation,process,Standard Development or Variation,The process of developing or varying a standard which the Authority must follow according to sections 63 and 64.
62,code_of_practice_development_or_variation,process,Code of Practice Development or Variation,The process of developing or varying a code of practice which the Authority must follow according to section 65.
62,section_63,legislation,Section 63,A step that the Authority must follow for standard development or variation.
62,section_64,legislation,Section 64,A step that the Authority must follow for standard development or variation.
62,section_65,legislation,Section 65,A step that the Authority must follow for code of practice development or variation.
66,typographical_error_correction,exception,Correction of Typographical Error,An example of a variation that corrects a typographical error within a food regulatory measure.
66,update_reference,exception,Update of Reference,An example of a variation that updates a reference to another document within a food regulatory measure.
66,change_cross_reference,exception,Change of Cross-Reference,An example of a variation that changes a cross-reference within a food regulatory measure.
66,omit_ceased_provisions,exception,Omission of Ceased Provisions,An example of a variation that omits provisions of a food regulatory measure that have ceased to have effect.
68,section_61,legislation,Section 61,A step set out in the FOOD STANDARDS AUSTRALIA NEW ZEALAND ACT 1991 which is modified by Section 68.
68,draft_variation,document,Draft Variation of a Food Regulatory Measure,A draft variation prepared by the Authority as a result of a proposal.
68,government_agencies,organization,Appropriate Government Agencies,Government agencies to which the Authority must give written notice after preparing a draft variation of the food regulatory measure.
68,written_submissions,document,Written Submissions,"Submissions called for by the Authority for the purpose of consideration of the draft variation, to be made within a specified period."
69,report_under_section_69,document,Report under Section 69,"A report prepared by the Authority that includes reasons for preparing the proposal, a summary of assessment results, reasons for approving or rejecting the draft variation, and a copy of the draft variation."
71,modifications,concept,Modifications,Specific changes to the general procedure that must be adopted by the Authority when considering the proposal.
72,section_59,legislation,Section 59 of the Food Standards Australia New Zealand Act 1991,A section of the Act that outlines a step that the Authority must take in assessing a proposal.
72,section_60,legislation,Section 60 of the Food Standards Australia New Zealand Act 1991,A section of the Act that outlines the step following the assessment of a proposal by the Authority.
74,subdivision_sect_74,legislation,Subdivision of SECT 74,"This Subdivision outlines the application of SECT 74 to proposals for the variation of the Nutrition, Health and Related Claims Standard, specifically when the variation proposed is a high level health claims variation."
76,public_health_and_safety,objective,Protection of Public Health and Safety,An objective that the Authority must be satisfied is met before approving the draft variation.
76,informed_choices,objective,Provision of Adequate Information Relating to Food,"An objective to enable consumers to make informed choices, which the Authority must consider before approving the draft variation."
76,prevent_misleading_conduct,objective,Prevention of Misleading or Deceptive Conduct,"An objective to prevent misleading or deceptive conduct in relation to food, which the Authority must consider before approving the draft variation."
77,submission_period,regulation,submission period,The specified period within which written submissions must be given to the Authority for the purpose of considering the draft variation.
79,report_prepared_under_section_78,document,Report Prepared Under Section 78,"A report that the Authority prepares under section 78, which must be provided to the Forum on Food Regulation upon approval of a draft high level health claims variation."
80,division_application,regulation,Application of Division,This Division applies if the APVMA notifies the Authority under section 8E of the Agvet Code of an application or variation in relation to a chemical product.
80,agvet_code_section_8_e,regulation,Section 8E of the Agvet Code,Section 8E of the Agvet Code is the regulation under which the APVMA notifies the Authority of an application or variation in relation to a chemical product.
81,apvma_notification,event,APVMA Notification,A notification under section 8E of the Agvet Code regarding an application or variation.
82,maximum_residue_limits_standard,regulation,Maximum Residue Limits Standard,A standard that specifies the permitted maximum residue limits for chemical products.
82,legislative_instrument,regulation,Legislative Instrument,A variation made under subsection (1) is considered a legislative instrument.
82,gazette,publication,Gazette,The publication in which a copy of the variation must be published.
84,food_regulation_agreement,document,Food Regulation Agreement,A document that the Forum on Food Regulation must comply with when exercising its powers in relation to a draft standard or variation.
84,australia_new_zealand_joint_food_standards_agreement,document,Australia New Zealand Joint Food Standards Agreement,A document that the Forum on Food Regulation must comply with when exercising its powers in relation to a draft high level health claims variation.
85,section_92,legislation,Section 92,Contains the publication requirements that the Authority must comply with when the Forum on Food Regulation does not intend to request a review.
86,direction_under_subsection_2,regulation,Direction under subsection (2),"A direction given by the Forum on Food Regulation to the Authority in relation to the conduct of a review, which is not a legislative instrument."
87,review_of_draft_standard_or_variation,process,Review of Draft Standard or Variation,"A process conducted by the Authority upon request by the Forum on Food Regulation, subject to any directions under subsection 86(2)."
87,decision_by_authority,event,Decision by Authority,"The event where the Authority decides to either re-affirm approval of the draft, re-affirm approval with necessary amendments, or withdraw approval of the draft."
87,notification_to_forum,event,Notification to Forum,The event where the Authority notifies the Forum on Food Regulation of its decision and reasons within 10 business days.
89,publication_requirements_section_92,regulation,Publication Requirements Section 92,The requirements that the Authority must comply with regarding the publication of a draft standard or draft variation when the Forum on Food Regulation does not intend to amend or reject it.
92,new_zealand_gazette,publication,New Zealand Gazette,A publication where the Authority must publish a copy of the notice regarding the draft or amended draft of food standards.
92,authority_s_website,platform,Authority's website,The online platform where the Authority must publish a copy of the notice and the text of the draft or the amended draft of food standards.
93,standard_or_variation,regulation,Standard or Variation,A regulation or amendment to a regulation under the FOOD STANDARDS AUSTRALIA NEW ZEALAND ACT 1991.
93,notice_given_under_section_92,regulation,Notice under Section 92,A notice given under section 92 of the FOOD STANDARDS AUSTRALIA NEW ZEALAND ACT 1991 that specifies the day a standard or variation takes effect.
94,section_94,legislation,Standards and variations are legislative instruments,"A standard, or a variation of a standard, in relation to which a notice is published under section 92 is a legislative instrument."
94,section_42,legislation,Disallowance,"Section 42 of the Legislation Act 2003, which pertains to disallowance, does not apply to the standard or variation."
94,section_44_1,legislation,Exemption from disallowance,Subsection 44(1) of the Legislation Act 2003 provides that disallowance under Section 42 does not apply to the standard or variation.
94,section_54_1,legislation,Exemption from sunsetting,Subsection 54(1) of the Legislation Act 2003 provides that sunsetting under Part 4 of Chapter 3 does not apply to the standard or variation.
94,part_4_of_chapter_3,legislation,Sunsetting,"Part 4 of Chapter 3 of the Legislation Act 2003, which pertains to sunsetting of legislative instruments, does not apply to the standard or variation."
95,negative_impact_on_trade,concept,Negative Impact on Trade,"A situation where a standard has had or will have an unintended negative impact on trade, which can be a reason for the Authority to declare an application or proposal as urgent."
95,appropriate_government_agency,organization,Appropriate Government Agency,Government agencies that must be given a copy of the declaration when an application or proposal is declared urgent by the Authority.
95,public_notice_of_declaration,concept,Public Notice of Declaration,"A notice that the Authority must give to announce a declaration of an urgent application or proposal, including a copy of the declaration."
95,media_publicity,concept,Media Publicity,The process of distributing copies of the urgent declaration to print and electronic media in Australia and New Zealand to inform the public.
